Venter, Wacko, Never Mind, Action, A_01, 180, 134QY78
Mthemu, Thando, Toughest Journey, Action, V_01, 220, 1267JJ67
Sally, White, The Revenge, Action, A_02, 180, 7877PX09
Pillay, Rohan, Avengers, Action, A_17, 150, 9037QS227
Black, Jason, Scream, Horror, H_01, 120, 9098AC881
Dlamini, Zinhle, Finding Nemo, Animation, K_05, 100, 9054EG445
Zulu, Sibusiso, Frozen, Animation, K_08, 102, 9021HJ118
Mabena, Thandi, Batman, Action, A_09, 145, 9010IK009
Motsepe, Nomsa, Dangerous Space, Horror, H_11, 135, 9091KM881
Sithole, Zanele, Frozen, Animation, K_20, 102, 9000TV990
Dube, Sibusiso, Batman, Action, A_21, 145, 9091UW881
Mkhabela, Kabelo, It Hurts, Horror, H_23, 135, 9073WY663
Zulu, Lerato, Coco, Animation, K_27, 105, 9037AC227
Ndlela, Nonhlanhla, Avengers, Action, A_29, 150, 9019CE009
Motsepe, Thabo, Finding Dorcus, Animation, K_30, 97, 9000DF990
Pillay, Zanele, Frozen, Animation, K_32, 102, 9082FH772
Radebe, Sibusiso, Batman, Action, A_33, 145, 9073GI663
Smith, Kabelo, It Hurts, Horror, H_35, 135, 9055IK445
Mthembu, Lerato, Coco, Animation, K_39, 105, 9019MO009
Mokoena, Themba, Joker, Action, A_40, 140, 9000NP990
Mabena, Thabo, Finding Dorcus, Animation, K_42, 97, 9082PR772
Ndlela, Bongani, Parasite, Animation, K_43, 132, 9073QS663
Motsepe, Zanele, Frozen, Animation, K_44, 102, 9064RT554
Radebe, Sibusiso, Batman, Action, A_45, 145, 9055SU445
Pillay, Kabelo, It Hurts, Horror, R_47, 135, 9037UW227
